MONTHS,YEAR
February,1938
March,1938
April,1938
May,1938
June,1938
July,1938
August,1938
September,1938
October,1938
November,1938
December,1938
January,1939
February,1939
March,1939
April,1939
May,1939
June,1939
July,1939
August,1939
September,1939
October,1939
November,1939
December,1939
January,1940
February,1940
March,1940
April,1940
May,1940
June,1940
July,1940
August,1940
September,1940
October,1940
November,1940
December,1940
January,1941
February,1941
March,1941
April,1941
May,1941
June,1941
July,1941
August,1941
September,1941
October,1941
November,1941
December,1941
January,1942
February,1942
March,1942
April,1942
May,1942
June,1942
July,1942
August,1942
September,1942
October,1942
November,1942
December,1942
January,1943
February,1943
March,1943
April,1943
May,1943
June,1943
July,1943
August,1943
September,1943
October,1943
November,1943
December,1943
January,1944
February,1944
March,1944
April,1944
May,1944
June,1944
July,1944
August,1944
September,1944
October,1944
November,1944
December,1944
January,1945
February,1945
March,1945
April,1945
May,1945
